,OrderID,Tanggal_Pesanan,Produk,Kategori,Wilayah,Jumlah,Harga_Satuan,Metode_Pembayaran,Diskon,Total_Penjualan,Bulan,Hari_Dalam_Seminggu,Jam_Pesanan
18,19,2024-12-30 16:47:34.301561,Keyboard Mekanik,Periferal,Surabaya,1,1630844,Debit Card,0.05,1549301.7999999998,2024-12,0,20
19,20,2025-03-26 16:47:34.301561,Smartwatch,Aksesoris,Surabaya,3,2956070,Credit Card,0.0,8868210.0,2025-03,2,16
20,21,2025-06-04 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,1,789626,Bank Transfer,0.0,789626.0,2025-06,2,18
21,22,2025-02-04 16:47:34.301561,Smartphone Terbaru,Elektronik,Makassar,1,3288859,Debit Card,0.0,3288859.0,2025-02,1,12
22,23,2025-05-07 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,4,1114037,Credit Card,0.0,4456148.0,2025-05,2,14
23,24,2025-01-18 16:47:34.301561,Smartphone Terbaru,Elektronik,Denpasar,4,8867021,E-Wallet,0.0,35468084.0,2025-01,5,19
24,25,2025-06-07 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,1,7749766,Debit Card,0.0,7749766.0,2025-06,5,12
25,26,2025-02-24 16:47:34.301561,Headphone Wireless,Aksesoris,Makassar,4,1227460,Bank Transfer,0.0,4909840.0,2025-02,0,14
26,27,2025-01-19 16:47:34.301561,Laptop Gaming,Elektronik,Medan,4,16546236,Credit Card,0.0,66184944.0,2025-01,6,20
27,28,2025-03-27 16:47:34.301561,Smartphone Terbaru,Elektronik,Makassar,1,7001412,Debit Card,0.05,6651341.399999999,2025-03,3,11
28,29,2025-02-15 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,3,493718,Debit Card,0.15,1258980.9,2025-02,5,15
29,30,2025-02-25 16:47:34.301561,Smartphone Terbaru,Elektronik,Makassar,1,3594305,Debit Card,0.05,3414589.75,2025-02,1,20
30,31,2025-06-16 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,4,7257341,Bank Transfer,0.0,29029364.0,2025-06,0,18
31,32,2025-01-12 16:47:34.301561,Monitor Curved,Periferal,Makassar,3,5759834,Credit Card,0.0,17279502.0,2025-01,6,21
32,33,2025-06-21 16:47:34.301561,Smartwatch,Aksesoris,Denpasar,2,1782789,E-Wallet,0.15,3030741.3,2025-06,5,17
33,34,2025-02-17 16:47:34.301561,Laptop Gaming,Elektronik,Jakarta,3,23592974,E-Wallet,0.0,70778922.0,2025-02,0,20
34,35,2025-04-15 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,4,902420,E-Wallet,0.0,3609680.0,2025-04,1,18
35,36,2025-02-21 16:47:34.301561,Headphone Wireless,Aksesoris,Makassar,3,454249,Credit Card,0.0,1362747.0,2025-02,4,17
36,37,2025-03-02 16:47:34.301561,Monitor Curved,Periferal,Jakarta,1,3679161,E-Wallet,0.05,3495202.9499999997,2025-03,6,14
37,38,2025-05-08 16:47:34.301561,Headphone Wireless,Aksesoris,Makassar,2,1338199,Bank Transfer,0.05,2542578.1,2025-05,3,17
38,39,2025-02-17 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,2,1060902,Credit Card,0.0,2121804.0,2025-02,0,12
39,40,2025-05-12 16:47:34.301561,Monitor Curved,Periferal,Jakarta,2,3538112,Debit Card,0.0,7076224.0,2025-05,0,18
40,41,2025-01-18 16:47:34.301561,Monitor Curved,Periferal,Denpasar,4,3726676,Bank Transfer,0.15,12670698.4,2025-01,5,13
41,42,2025-03-11 16:47:34.301561,Monitor Curved,Periferal,Medan,4,3370073,Debit Card,0.0,13480292.0,2025-03,1,12
42,43,2025-06-13 16:47:34.301561,Laptop Gaming,Elektronik,Makassar,2,16685996,E-Wallet,0.05,31703392.4,2025-06,4,14
43,44,2025-01-15 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,3,8430484,Bank Transfer,0.05,24026879.4,2025-01,2,19
44,45,2025-05-09 16:47:34.301561,Monitor Curved,Periferal,Medan,2,5246417,Credit Card,0.05,9968192.299999999,2025-05,4,9
45,46,2025-03-27 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,3,1002436,Bank Transfer,0.0,3007308.0,2025-03,3,12
46,47,2025-02-26 16:47:34.301561,Monitor Curved,Periferal,Medan,3,4543788,Debit Card,0.0,13631364.0,2025-02,2,17
47,48,2025-01-11 16:47:34.301561,Laptop Gaming,Elektronik,Medan,4,16352144,Credit Card,0.0,65408576.0,2025-01,5,10
48,49,2025-01-06 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,3,1271248,Bank Transfer,0.1,3432369.6,2025-01,0,16
49,50,2025-03-28 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,2,7657851,Bank Transfer,0.1,13784131.8,2025-03,4,20
50,51,2025-02-19 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,4,703850,Bank Transfer,0.0,2815400.0,2025-02,2,13
51,52,2025-05-07 16:47:34.301561,Smartwatch,Aksesoris,Makassar,1,1684446,Bank Transfer,0.0,1684446.0,2025-05,2,20
52,53,2025-03-22 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,1,810259,Credit Card,0.1,729233.1,2025-03,5,17
53,54,2025-03-30 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,4,1359325,Debit Card,0.05,5165435.0,2025-03,6,10
54,55,2025-04-18 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,2,928419,Bank Transfer,0.1,1671154.2,2025-04,4,14
55,56,2025-06-18 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,1,8923361,Credit Card,0.0,8923361.0,2025-06,2,11
56,57,2025-01-05 16:47:34.301561,Monitor Curved,Periferal,Medan,1,3963571,Debit Card,0.0,3963571.0,2025-01,6,21
57,58,2025-06-21 16:47:34.301561,Laptop Gaming,Elektronik,Jakarta,3,20542511,Bank Transfer,0.05,58546156.349999994,2025-06,5,10
58,59,2025-02-01 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,3,525019,Debit Card,0.05,1496304.15,2025-02,5,15
59,60,2025-03-19 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,2,897218,Debit Card,0.0,1794436.0,2025-03,2,20
60,61,2025-06-10 16:47:34.301561,Monitor Curved,Periferal,Medan,4,5815144,Credit Card,0.0,23260576.0,2025-06,1,11
61,62,2025-02-16 16:47:34.301561,Headphone Wireless,Aksesoris,Makassar,2,1117052,Debit Card,0.0,2234104.0,2025-02,6,18
62,63,2025-04-11 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,4,2385957,Credit Card,0.0,9543828.0,2025-04,4,8
63,64,2025-05-09 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,1,1119401,Bank Transfer,0.0,1119401.0,2025-05,4,13
64,65,2024-12-30 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,3,9269324,Debit Card,0.15,23636776.2,2024-12,0,17
65,66,2025-05-11 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,2,4428080,Debit Card,0.0,8856160.0,2025-05,6,18
66,67,2025-02-20 16:47:34.301561,Smartphone Terbaru,Elektronik,Denpasar,2,4101928,E-Wallet,0.1,7383470.4,2025-02,3,18
67,68,2025-04-13 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,4,5521279,Bank Transfer,0.0,22085116.0,2025-04,6,8
68,69,2025-01-01 16:47:34.301561,Smartwatch,Aksesoris,Surabaya,4,2600343,Bank Transfer,0.05,9881303.4,2025-01,2,12
69,70,2025-02-20 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,2,2325544,E-Wallet,0.15,3953424.8,2025-02,3,14
70,71,2025-05-23 16:47:34.301561,Laptop Gaming,Elektronik,Jakarta,4,17726016,E-Wallet,0.0,70904064.0,2025-05,4,13
71,72,2025-02-10 16:47:34.301561,Laptop Gaming,Elektronik,Jakarta,2,16244289,Credit Card,0.0,32488578.0,2025-02,0,21
72,73,2025-06-08 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,2,3442939,Credit Card,0.0,6885878.0,2025-06,6,9
73,74,2025-01-11 16:47:34.301561,Monitor Curved,Periferal,Medan,2,3052207,Debit Card,0.0,6104414.0,2025-01,5,18
74,75,2025-04-02 16:47:34.301561,Headphone Wireless,Aksesoris,Surabaya,1,1485820,Debit Card,0.05,1411529.0,2025-04,2,11
75,76,2025-02-14 16:47:34.301561,Laptop Gaming,Elektronik,Surabaya,4,23692832,Debit Card,0.1,85294195.2,2025-02,4,18
76,77,2025-01-12 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,3,620169,Debit Card,0.0,1860507.0,2025-01,6,9
77,78,2025-02-06 16:47:34.301561,Monitor Curved,Periferal,Jakarta,3,4711793,Credit Card,0.0,14135379.0,2025-02,3,18
78,79,2025-03-20 16:47:34.301561,Laptop Gaming,Elektronik,Medan,4,17319124,Bank Transfer,0.0,69276496.0,2025-03,3,8
79,80,2025-04-18 16:47:34.301561,Smartwatch,Aksesoris,Denpasar,2,2573290,Debit Card,0.05,4889251.0,2025-04,4,10
80,81,2025-02-19 16:47:34.301561,Monitor Curved,Periferal,Jakarta,3,6942625,Bank Transfer,0.0,20827875.0,2025-02,2,10
81,82,2025-01-21 16:47:34.301561,Smartphone Terbaru,Elektronik,Makassar,3,9800135,Debit Card,0.0,29400405.0,2025-01,1,19
82,83,2025-05-31 16:47:34.301561,Laptop Gaming,Elektronik,Medan,4,17518970,E-Wallet,0.05,66572086.0,2025-05,5,14
83,84,2025-05-01 16:47:34.301561,Laptop Gaming,Elektronik,Medan,3,18889877,Debit Card,0.05,53836149.449999996,2025-05,3,8
84,85,2025-02-07 16:47:34.301561,Laptop Gaming,Elektronik,Surabaya,2,16727408,Debit Card,0.0,33454816.0,2025-02,4,16
85,86,2025-06-03 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,4,1455675,Debit Card,0.05,5531565.0,2025-06,1,18
86,87,2025-01-12 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,2,2222550,Credit Card,0.0,4445100.0,2025-01,6,13
87,88,2025-02-11 16:47:34.301561,Laptop Gaming,Elektronik,Medan,3,22436754,E-Wallet,0.0,67310262.0,2025-02,1,11
88,89,2025-03-03 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,3,3965188,Debit Card,0.1,10706007.6,2025-03,0,10
89,90,2025-03-27 16:47:34.301561,Laptop Gaming,Elektronik,Denpasar,2,17161088,Debit Card,0.05,32606067.2,2025-03,3,10
90,91,2025-03-09 16:47:34.301561,Laptop Gaming,Elektronik,Surabaya,1,23018006,Bank Transfer,0.0,23018006.0,2025-03,6,9
91,92,2025-01-06 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,3,887510,E-Wallet,0.0,2662530.0,2025-01,0,9
92,93,2025-03-26 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,1,9354986,Debit Card,0.0,9354986.0,2025-03,2,21
93,94,2025-05-06 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,3,6575168,Bank Transfer,0.0,19725504.0,2025-05,1,19
94,95,2025-05-13 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,1,8795250,Bank Transfer,0.0,8795250.0,2025-05,1,20
95,96,2025-03-01 16:47:34.301561,Smartwatch,Aksesoris,Medan,1,2173879,Credit Card,0.0,2173879.0,2025-03,5,17
96,97,2025-05-16 16:47:34.301561,Smartphone Terbaru,Elektronik,Denpasar,1,4780752,Bank Transfer,0.0,4780752.0,2025-05,4,12
97,98,2025-03-19 16:47:34.301561,Monitor Curved,Periferal,Makassar,2,5293331,Debit Card,0.05,10057328.9,2025-03,2,16
98,99,2025-05-13 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,1,8069076,Credit Card,0.05,7665622.199999999,2025-05,1,9
99,100,2025-06-09 16:47:34.301561,Monitor Curved,Periferal,Medan,1,5764455,Credit Card,0.05,5476232.25,2025-06,0,9
100,101,2025-06-09 16:47:34.301561,Smartwatch,Aksesoris,Denpasar,1,641214,Debit Card,0.0,641214.0,2025-06,0,19
101,102,2025-01-30 16:47:34.301561,Laptop Gaming,Elektronik,Jakarta,3,23791690,E-Wallet,0.15,60668809.5,2025-01,3,13
102,103,2025-04-30 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,1,3201139,Bank Transfer,0.1,2881025.1,2025-04,2,20
103,104,2025-01-02 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,3,1428494,Credit Card,0.1,3856933.8000000003,2025-01,3,17
104,105,2025-02-07 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,1,1421318,E-Wallet,0.1,1279186.2,2025-02,4,9
105,106,2025-01-25 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,1,949714,Debit Card,0.1,854742.6,2025-01,5,19
106,107,2025-05-12 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,2,888315,Bank Transfer,0.0,1776630.0,2025-05,0,11
107,108,2025-03-10 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,3,1899698,Bank Transfer,0.0,5699094.0,2025-03,0,13
108,109,2025-01-09 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,1,392601,Credit Card,0.05,372970.95,2025-01,3,12
109,110,2025-06-08 16:47:34.301561,Laptop Gaming,Elektronik,Medan,3,18175684,Bank Transfer,0.05,51800699.4,2025-06,6,8
110,111,2025-01-30 16:47:34.301561,Keyboard Mekanik,Periferal,Surabaya,3,1029085,Bank Transfer,0.05,2932892.25,2025-01,3,13
111,112,2025-02-14 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,4,4959925,Bank Transfer,0.0,19839700.0,2025-02,4,8
112,113,2025-05-28 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,2,1212735,Bank Transfer,0.0,2425470.0,2025-05,2,10
113,114,2025-02-28 16:47:34.301561,Laptop Gaming,Elektronik,Surabaya,2,24906695,Debit Card,0.0,49813390.0,2025-02,4,17
114,115,2025-02-03 16:47:34.301561,Laptop Gaming,Elektronik,Jakarta,2,21071845,E-Wallet,0.1,37929321.0,2025-02,0,12
115,116,2025-04-06 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,4,5518638,Debit Card,0.0,22074552.0,2025-04,6,21
116,117,2025-06-18 16:47:34.301561,Monitor Curved,Periferal,Makassar,4,2603103,Debit Card,0.0,10412412.0,2025-06,2,17
117,118,2025-04-11 16:47:34.301561,Smartphone Terbaru,Elektronik,Denpasar,2,7233583,Credit Card,0.0,14467166.0,2025-04,4,20
118,119,2025-02-01 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,4,7566235,Bank Transfer,0.0,30264940.0,2025-02,5,12
119,120,2025-04-08 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,4,4989968,Debit Card,0.1,17963884.8,2025-04,1,20
120,121,2025-06-21 16:47:34.301561,Headphone Wireless,Aksesoris,Surabaya,4,448702,Bank Transfer,0.05,1705067.5999999999,2025-06,5,17
121,122,2025-05-08 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,2,1509639,Debit Card,0.05,2868314.1,2025-05,3,13
122,123,2024-12-29 16:47:34.301561,Headphone Wireless,Aksesoris,Makassar,2,1073887,Debit Card,0.0,2147774.0,2024-12,6,19
123,124,2025-01-02 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,2,952184,Credit Card,0.05,1809149.5999999999,2025-01,3,17
124,125,2025-05-19 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,4,2139080,E-Wallet,0.0,8556320.0,2025-05,0,15
125,126,2025-04-10 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,2,745377,E-Wallet,0.05,1416216.3,2025-04,3,12
126,127,2025-01-24 16:47:34.301561,Laptop Gaming,Elektronik,Surabaya,4,16257008,Debit Card,0.0,65028032.0,2025-01,4,21
127,128,2025-05-14 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,1,9473507,Credit Card,0.0,9473507.0,2025-05,2,18
128,129,2025-01-12 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,4,7070211,Bank Transfer,0.05,26866801.799999997,2025-01,6,8
129,130,2025-03-28 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,3,8137997,Bank Transfer,0.1,21972591.900000002,2025-03,4,12
130,131,2025-02-08 16:47:34.301561,Smartphone Terbaru,Elektronik,Makassar,2,6843688,Debit Card,0.0,13687376.0,2025-02,5,10
131,132,2025-05-01 16:47:34.301561,Monitor Curved,Periferal,Denpasar,2,5616984,E-Wallet,0.1,10110571.200000001,2025-05,3,11
132,133,2025-06-25 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,3,7317561,Credit Card,0.0,21952683.0,2025-06,2,20
133,134,2025-03-01 16:47:34.301561,Headphone Wireless,Aksesoris,Surabaya,4,1279062,E-Wallet,0.0,5116248.0,2025-03,5,15
134,135,2025-04-03 16:47:34.301561,Smartwatch,Aksesoris,Jakarta,1,1817630,Bank Transfer,0.0,1817630.0,2025-04,3,14
135,136,2025-02-18 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,3,4003171,E-Wallet,0.0,12009513.0,2025-02,1,18
136,137,2025-04-03 16:47:34.301561,Keyboard Mekanik,Periferal,Surabaya,3,2453607,Bank Transfer,0.0,7360821.0,2025-04,3,12
137,138,2025-05-09 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,4,1103585,Credit Card,0.0,4414340.0,2025-05,4,9
138,139,2025-05-28 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,2,4370485,Credit Card,0.0,8740970.0,2025-05,2,13
139,140,2025-05-20 16:47:34.301561,Monitor Curved,Periferal,Jakarta,4,3681076,Debit Card,0.1,13251873.6,2025-05,1,18
140,141,2025-06-17 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,3,412990,Debit Card,0.0,1238970.0,2025-06,1,13
141,142,2025-01-26 16:47:34.301561,Headphone Wireless,Aksesoris,Surabaya,3,1418095,E-Wallet,0.05,4041570.75,2025-01,6,17
142,143,2025-02-02 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,2,1358079,Credit Card,0.0,2716158.0,2025-02,6,17
143,144,2025-01-10 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,2,1281883,Credit Card,0.05,2435577.6999999997,2025-01,4,21
144,145,2025-06-06 16:47:34.301561,Monitor Curved,Periferal,Denpasar,2,3668321,Debit Card,0.0,7336642.0,2025-06,4,18
145,146,2025-03-09 16:47:34.301561,Laptop Gaming,Elektronik,Surabaya,4,18293705,Bank Transfer,0.0,73174820.0,2025-03,6,13
146,147,2025-03-24 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,2,4618702,E-Wallet,0.0,9237404.0,2025-03,0,21
147,148,2025-01-25 16:47:34.301561,Laptop Gaming,Elektronik,Makassar,3,21154512,E-Wallet,0.0,63463536.0,2025-01,5,16
148,149,2025-03-04 16:47:34.301561,Monitor Curved,Periferal,Denpasar,3,3500071,Debit Card,0.0,10500213.0,2025-03,1,18
149,150,2025-06-16 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,1,6759505,Credit Card,0.05,6421529.75,2025-06,0,15
150,151,2025-02-11 16:47:34.301561,Keyboard Mekanik,Periferal,Makassar,4,426806,Debit Card,0.1,1536501.6,2025-02,1,15
151,152,2025-02-28 16:47:34.301561,Headphone Wireless,Aksesoris,Surabaya,1,715384,Debit Card,0.1,643845.6,2025-02,4,8
152,153,2025-05-11 16:47:34.301561,Keyboard Mekanik,Periferal,Surabaya,3,470119,Debit Card,0.05,1339839.15,2025-05,6,12
153,154,2025-01-25 16:47:34.301561,Keyboard Mekanik,Periferal,Surabaya,1,2273722,Debit Card,0.0,2273722.0,2025-01,5,14
154,155,2025-01-25 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,3,1633741,Bank Transfer,0.0,4901223.0,2025-01,5,13
155,156,2025-04-15 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,1,1919603,Bank Transfer,0.0,1919603.0,2025-04,1,12
156,157,2025-02-10 16:47:34.301561,Smartphone Terbaru,Elektronik,Surabaya,2,4968541,Credit Card,0.0,9937082.0,2025-02,0,15
157,158,2025-03-22 16:47:34.301561,Headphone Wireless,Aksesoris,Jakarta,1,707507,Debit Card,0.0,707507.0,2025-03,5,10
158,159,2025-01-27 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,2,4750740,Bank Transfer,0.0,9501480.0,2025-01,0,13
159,160,2025-03-13 16:47:34.301561,Laptop Gaming,Elektronik,Jakarta,2,15863403,Credit Card,0.0,31726806.0,2025-03,3,12
160,161,2025-05-05 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,4,1179903,Debit Card,0.0,4719612.0,2025-05,0,15
161,162,2025-03-30 16:47:34.301561,Headphone Wireless,Aksesoris,Medan,2,1185421,E-Wallet,0.1,2133757.8000000003,2025-03,6,11
162,163,2025-05-06 16:47:34.301561,Smartphone Terbaru,Elektronik,Medan,2,7278384,Bank Transfer,0.05,13828929.6,2025-05,1,15
163,164,2025-04-28 16:47:34.301561,Headphone Wireless,Aksesoris,Makassar,1,1278836,Credit Card,0.0,1278836.0,2025-04,0,17
164,165,2025-01-24 16:47:34.301561,Keyboard Mekanik,Periferal,Makassar,3,579830,E-Wallet,0.1,1565541.0,2025-01,4,21
165,166,2025-04-28 16:47:34.301561,Headphone Wireless,Aksesoris,Surabaya,4,861931,Debit Card,0.15,2930565.4,2025-04,0,9
166,167,2025-04-23 16:47:34.301561,Monitor Curved,Periferal,Medan,2,6113640,Debit Card,0.0,12227280.0,2025-04,2,16
167,168,2024-12-31 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,4,706094,Debit Card,0.0,2824376.0,2024-12,1,20
168,169,2025-04-10 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,1,1636497,Bank Transfer,0.0,1636497.0,2025-04,3,16
169,170,2025-06-01 16:47:34.301561,Smartwatch,Aksesoris,Jakarta,2,1911220,Credit Card,0.1,3440196.0,2025-06,6,21
170,171,2025-05-14 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,1,1083404,E-Wallet,0.1,975063.6,2025-05,2,17
171,172,2025-02-28 16:47:34.301561,Keyboard Mekanik,Periferal,Surabaya,4,1947261,Credit Card,0.0,7789044.0,2025-02,4,17
172,173,2025-06-11 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,1,1266183,Bank Transfer,0.0,1266183.0,2025-06,2,20
173,174,2025-02-17 16:47:34.301561,Laptop Gaming,Elektronik,Makassar,4,24011501,Credit Card,0.0,96046004.0,2025-02,0,13
174,175,2025-06-18 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,1,8036269,Bank Transfer,0.0,8036269.0,2025-06,2,11
175,176,2025-05-29 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,4,7539014,Debit Card,0.0,30156056.0,2025-05,3,11
176,177,2025-02-25 16:47:34.301561,Laptop Gaming,Elektronik,Denpasar,3,18895958,E-Wallet,0.1,51019086.6,2025-02,1,20
177,178,2025-04-25 16:47:34.301561,Smartwatch,Aksesoris,Jakarta,1,1132543,Debit Card,0.05,1075915.8499999999,2025-04,4,13
178,179,2025-06-06 16:47:34.301561,Monitor Curved,Periferal,Surabaya,1,2451157,Credit Card,0.1,2206041.3000000003,2025-06,4,12
179,180,2025-04-03 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,3,1506581,Debit Card,0.1,4067768.7,2025-04,3,13
180,181,2025-06-26 16:47:34.301561,Laptop Gaming,Elektronik,Surabaya,3,16265898,E-Wallet,0.05,46357809.3,2025-06,3,14
181,182,2025-04-20 16:47:34.301561,Keyboard Mekanik,Periferal,Jakarta,1,1280412,Debit Card,0.0,1280412.0,2025-04,6,14
182,183,2025-02-28 16:47:34.301561,Smartwatch,Aksesoris,Jakarta,3,2252844,E-Wallet,0.05,6420605.399999999,2025-02,4,16
183,184,2025-02-18 16:47:34.301561,Monitor Curved,Periferal,Jakarta,2,5231185,E-Wallet,0.0,10462370.0,2025-02,1,15
184,185,2025-01-09 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,4,2092110,Debit Card,0.05,7950018.0,2025-01,3,20
185,186,2025-02-05 16:47:34.301561,Smartwatch,Aksesoris,Surabaya,4,817875,Bank Transfer,0.0,3271500.0,2025-02,2,13
186,187,2025-05-07 16:47:34.301561,Smartphone Terbaru,Elektronik,Jakarta,4,8923098,Credit Card,0.05,33907772.4,2025-05,2,19
187,188,2025-05-08 16:47:34.301561,Keyboard Mekanik,Periferal,Medan,2,1628337,Bank Transfer,0.0,3256674.0,2025-05,3,13
188,189,2025-04-20 16:47:34.301561,Smartphone Terbaru,Elektronik,Makassar,3,5666078,Bank Transfer,0.0,16998234.0,2025-04,6,21
189,190,2025-04-08 16:47:34.301561,Laptop Gaming,Elektronik,Jakarta,3,15484814,Debit Card,0.0,46454442.0,2025-04,1,12
