temp,clouds_all,hour,is_weekend,traffic_volume
272.75,75,5,1,453
272.16,75,6,1,755
271.06,20,7,1,953
270.68,1,8,1,1650
272.6,1,9,1,2442
274.06,1,10,1,3230
275.81,1,11,1,3575
277.54,20,12,1,4139
278.54,40,13,1,3892
278.97,40,14,1,3989
278.91,75,15,1,4294
278.81,75,16,1,4521
278.27,75,17,1,4280
276.67,75,18,1,3945
275.86,75,19,1,3169
274.29,75,20,1,2772
273.37,75,21,1,2213
272.77,75,22,1,1570
272.01,75,23,1,1065
271.78,40,0,0,530
271.41,75,1,0,331
271.46,75,2,0,270
271.76,75,3,0,316
272.24,90,4,0,799
271.98,90,5,0,2513
271.53,40,6,0,5503
271.46,40,7,0,6642
271.7,40,8,0,6195
273.26,75,9,0,5246
274.9,90,10,0,4460
276.33,90,11,0,4580
277.58,90,12,0,4771
278.5,90,13,0,4836
279.3,90,14,0,5138
279.89,90,15,0,5606
280.11,40,16,0,6120
279.82,40,17,0,5985
278.69,40,18,0,4418
277.75,40,19,0,3089
276.77,40,20,0,2636
276.61,75,21,0,2117
276.06,75,22,0,1437
275.22,20,23,0,920
274.75,20,0,0,600
274.24,20,1,0,393
273.47,20,2,0,298
273.5,1,3,0,352
273.15,75,4,0,762
273.0,20,5,0,2519
272.69,20,6,0,5478
273.08,40,7,0,6728
273.91,75,8,0,5972
274.82,75,9,0,5280
276.16,75,10,0,4626
277.69,90,11,0,4947
278.47,90,12,0,5125
279.12,90,13,0,5130
279.28,90,14,0,5394
280.19,90,15,0,5837
280.5,90,16,0,6222
280.3,90,17,0,5992
279.58,75,18,0,4578
278.78,75,19,0,3246
278.5,90,20,0,2834
276.93,75,21,0,2578
276.03,40,22,0,1979
275.01,40,23,0,1326
273.87,40,0,0,541
272.99,1,1,0,346
272.41,1,2,0,265
272.31,1,3,0,338
272.39,1,4,0,765
271.73,1,5,0,2611
271.54,1,6,0,5577
271.12,1,7,0,6908
271.17,20,8,0,6079
273.11,20,9,0,5309
276.01,20,10,0,4567
278.27,20,11,0,4804
279.84,20,12,0,5041
280.68,40,13,0,5051
281.22,20,14,0,5274
281.8,20,15,0,5936
282.2,40,16,0,6128
281.48,20,17,0,5821
280.0,20,18,0,4040
278.48,20,19,0,2711
276.86,20,20,0,2690
275.45,1,21,0,2539
274.05,1,22,0,1925
272.75,1,23,0,1471
271.73,1,0,0,716
270.91,1,1,0,453
270.15,1,2,0,324
269.68,1,3,0,390
269.44,1,4,0,775
268.96,1,5,0,2572
268.61,1,6,0,5595
268.74,1,7,0,6852
268.45,20,8,0,5892
270.9,1,9,0,5327
273.45,1,10,0,4756
275.9,20,11,0,5073
278.7,20,12,0,5286
280.25,20,13,0,5189
281.67,1,14,0,5495
283.03,1,15,0,5713
283.13,1,16,0,6317
283.04,20,17,0,6306
281.3,20,18,0,4867
279.84,40,19,0,3501
278.88,40,20,0,3110
278.51,90,21,0,2727
279.26,90,22,0,1825
279.21,90,23,0,1222
278.85,90,0,0,611
277.59,75,1,0,441
277.01,40,2,0,331
277.15,75,3,0,365
277.9,75,4,0,708
278.31,90,5,0,2379
278.63,90,6,0,5236
278.22,90,7,0,6509
277.58,75,8,0,5723
278.02,40,9,0,5239
278.37,90,10,0,4723
278.78,90,11,0,5330
278.78,75,12,0,5403
279.59,75,13,0,5446
279.64,1,14,0,5669
280.0,40,15,0,6093
279.76,40,16,0,6323
278.9,40,17,0,5856
277.06,40,18,0,4987
275.29,40,19,0,3681
274.98,20,20,0,2902
273.31,20,21,0,2929
272.77,1,22,0,2728
272.06,1,23,0,1693
272.01,20,0,1,1166
271.8,75,1,1,724
271.3,75,2,1,568
270.41,20,3,1,343
269.9,20,4,1,383
269.56,1,5,1,703
269.39,20,6,1,1229
269.24,20,7,1,2057
268.99,40,8,1,3246
271.47,75,9,1,4390
272.85,75,10,1,4573
273.93,75,11,1,4269
274.85,75,12,1,4833
275.43,75,13,1,4442
275.73,40,14,1,4397
275.9,40,15,1,4314
276.29,75,16,1,4413
276.41,75,17,1,4125
276.29,75,18,1,4004
276.13,90,19,1,3404
275.93,90,20,1,2777
275.93,90,21,1,2579
275.67,90,22,1,2552
275.58,90,23,1,1952
275.67,90,0,1,2125
275.6,90,1,1,730
275.77,90,1,1,730
275.42,90,2,1,345
275.47,90,3,1,223
275.33,90,5,1,488
275.08,90,6,1,710
275.08,90,7,1,1165
275.09,90,8,1,2067
275.09,90,8,1,2067
275.44,90,9,1,2911
276.1,90,10,1,3527
276.45,90,11,1,3765
276.76,90,12,1,4063
277.11,90,13,1,4043
278.13,90,14,1,4200
278.44,90,15,1,4105
278.44,90,16,1,4015
278.09,90,17,1,3620
277.72,90,18,1,3652
277.41,90,19,1,2837
277.2,90,20,1,2446
277.06,90,21,1,1950
276.7,90,22,1,1451
276.54,90,23,1,999
276.07,90,0,0,1720
275.67,75,1,0,1299
274.97,40,2,0,304
274.86,20,3,0,412
273.45,75,4,0,753
272.66,20,5,0,2562
272.18,20,6,0,5658
272.32,1,7,0,6877
272.69,90,8,0,5981
274.26,90,9,0,4999
275.99,90,10,0,4408
277.35,90,11,0,4575
277.83,90,12,0,4710
278.47,90,13,0,4648
278.71,46,14,0,4968
280.56,46,16,0,6124
280.56,46,17,0,6134
279.26,46,18,0,4265
280.56,46,20,0,2415
280.56,46,21,0,1963
280.56,46,22,0,1454
280.56,46,23,0,938
280.56,46,0,0,537
274.41,98,1,0,313
274.41,98,2,0,256
274.41,98,3,0,356
274.41,98,4,0,788
274.41,98,5,0,2565
274.41,98,6,0,5330
274.91,99,7,0,6181
274.91,99,8,0,6182
274.91,99,9,0,5720
274.91,99,10,0,4612
277.12,90,12,0,4666
278.04,90,13,0,5022
278.19,90,14,0,5490
278.38,90,15,0,5973
278.59,90,16,0,6201
278.65,90,17,0,5453
278.74,90,18,0,3921
278.74,90,18,0,3921
278.87,90,19,0,2835
278.87,90,19,0,2835
279.02,90,20,0,2450
279.02,90,20,0,2450
278.84,90,21,0,2078
278.84,90,21,0,2078
278.84,90,21,0,2078
278.56,90,22,0,1671
278.56,90,22,0,1671
278.56,90,22,0,1671
278.5,90,23,0,1472
278.5,90,23,0,1472
278.03,90,0,0,792
278.03,90,0,0,792
278.03,90,0,0,792
277.28,90,1,0,811
277.28,90,1,0,811
277.06,90,2,0,671
277.06,90,2,0,671
277.06,90,2,0,671
277.06,90,2,0,671
276.83,90,3,0,474
276.83,90,3,0,474
276.83,90,3,0,474
277.15,90,4,0,790
277.15,90,4,0,790
277.57,90,5,0,2619
277.57,90,5,0,2619
277.51,90,6,0,5788
277.51,90,6,0,5788
277.51,90,6,0,5788
277.41,90,7,0,7088
277.41,90,7,0,7088
277.68,90,8,0,6264
277.68,90,8,0,6264
278.15,90,9,0,5230
278.42,90,10,0,4567
278.61,90,11,0,4769
279.14,90,12,0,5011
278.99,90,13,0,4889
278.83,90,14,0,5367
278.57,90,15,0,5678
278.57,90,15,0,5678
278.21,90,16,0,6267
278.21,90,16,0,6267
278.21,90,16,0,6267
278.21,90,16,0,6267
277.96,90,17,0,6057
277.96,90,17,0,6057
277.51,90,18,0,4883
277.18,90,19,0,2927
277.08,90,20,0,2594
276.98,90,21,0,2347
276.93,90,22,0,1544
276.76,90,23,0,1219
276.79,90,0,0,783
276.64,90,1,0,357
276.41,90,2,0,286
276.32,90,3,0,396
276.32,90,4,0,791
276.29,90,5,0,2681
276.29,90,6,0,5614
276.38,90,7,0,6834
276.94,90,8,0,6280
277.39,90,9,0,5460
278.31,90,10,0,4670
278.71,90,11,0,5071
279.86,90,12,0,5246
279.97,75,13,0,5039
280.53,90,14,0,5411
280.57,90,15,0,5866
280.3,90,16,0,6556
279.79,90,17,0,6204
278.91,90,18,0,4688
277.79,40,19,0,3326
277.0,75,20,0,3229
276.52,75,21,0,2790
276.25,40,22,0,1946
276.1,90,23,0,1181
276.1,75,0,0,649
275.91,40,1,0,422
275.69,40,2,0,340
275.4,40,3,0,365
275.44,20,4,0,683
275.35,20,5,0,2471
275.4,1,6,0,5538
275.4,1,7,0,6880
275.89,1,8,0,5906
277.07,1,9,0,5234
278.66,1,10,0,4719
282.16,75,11,0,5304
282.49,1,12,0,5487
284.21,40,13,0,5532
284.57,40,14,0,5816
284.64,75,15,0,5958
284.11,40,16,0,6455
282.06,40,17,0,6154
279.8,20,18,0,5330
278.54,20,19,0,3540
278.09,1,20,0,3193
277.88,1,21,0,2948
277.36,20,22,0,2496
277.25,20,23,0,1707
276.64,1,0,1,1090
275.98,1,1,1,735
275.73,1,2,1,537
275.63,20,3,1,371
275.29,20,4,1,397
275.25,75,5,1,696
275.1,40,6,1,1301
275.23,40,7,1,1932
276.09,20,8,1,2952
277.86,20,9,1,3529
280.05,20,10,1,3837
281.75,20,11,1,4338
283.15,20,12,1,4762
283.99,75,13,1,4367
284.03,75,14,1,4369
283.98,1,15,1,4536
283.0,1,16,1,4520
281.46,90,17,1,4677
280.71,90,18,1,4025
280.24,90,19,1,3128
280.18,90,20,1,2905
280.08,90,21,1,2853
280.23,90,22,1,3288
280.33,90,23,1,2239
280.27,90,0,1,1381
279.87,90,1,1,922
279.87,90,1,1,922
279.87,90,1,1,922
279.87,90,1,1,922
280.01,90,2,1,626
280.01,90,2,1,626
280.01,90,2,1,626
280.26,90,3,1,331
280.26,90,3,1,331
280.26,90,3,1,331
280.26,90,3,1,331
280.1,90,4,1,304
280.1,90,4,1,304
280.1,90,4,1,304
280.1,90,4,1,304
280.1,90,4,1,304
279.9,90,5,1,462
279.9,90,5,1,462
279.9,90,5,1,462
279.79,90,6,1,793
279.79,90,6,1,793
